 48
** Atomic data from version 5.2 of the CHIANTI database **
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%theoretical energies: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
% produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
% P.R.Young - 15-Feb-2004
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%A-values: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
%comment:
     The following A-values were incorrect in the Berrington et al. (2000)
     paper and have been corrected (K.A. Berrington, 2004, private communication)

i-i'   A(correct)    (in paper)
  0  0   1.04e+00
  0  0   9.04e-01
  0  0   7.41e-01
  0  0   5.97e-01
  0  0   4.87e-01
  0  0   4.11e-01
  1  9   1.80e-01
  0  0   1.79e-01
  0  0   1.79e-01
  0  0   1.79e-01
  0  0   1.78e-01
  0  0   1.77e-01
  0  0   1.75e-01
  0  0   1.73e-01
  0  0   1.69e-01
  0  0   1.63e-01
  0  0   1.54e-01
  0  0   1.41e-01
  0  0   1.25e-01
  0  0   1.07e-01
  0  0   9.38e-02
  0  0   8.66e-02
  0  0   8.20e-02
  0  0   7.55e-02
  0  0   6.54e-02
  0  0   5.36e-02
  0  0   4.33e-02
  0  0   3.56e-02
  0  0   3.02e-02
  2  3   5.49e+00
  0  0   5.48e+00
  0  0   5.48e+00
  0  0   5.47e+00
  0  0   5.46e+00
  0  0   5.44e+00
  0  0   5.40e+00
  0  0   5.35e+00
  0  0   5.27e+00
  0  0   5.15e+00
  0  0   4.97e+00
  0  0   4.70e+00
  0  0   4.34e+00
  0  0   3.93e+00
  0  0   3.55e+00
  0  0   3.29e+00
  0  0   3.10e+00
  0  0   2.88e+00
  0  0   2.52e+00
  0  0   2.08e+00
  0  0   1.67e+00
  0  0   1.35e+00
  0  0   1.13e+00
  2  4   1.53e+00
  0  0   1.53e+00
  0  0   1.53e+00
  0  0   1.53e+00
  0  0   1.53e+00
  0  0   1.53e+00
  0  0   1.52e+00
  0  0   1.51e+00
  0  0   1.50e+00
  0  0   1.48e+00
  0  0   1.45e+00
  0  0   1.40e+00
  0  0   1.34e+00
  0  0   1.27e+00
  0  0   1.21e+00
  0  0   1.16e+00
  0  0   1.10e+00
  0  0   1.02e+00
